PulseType,PulseIndex,SOC,C_rate,R0,R1,C1,R2,C2
charge,108,2.6717610805632006,1.9994000000000007,0.0052355683090336,0.006754927339342818,14.2976665140794,0.01525294938105897,1357.5608721216129
discharge,118,2.672654572654892,0.9996800000000002,0.0059539034866949,0.009493504635803465,19.210854158966157,0.04603527958825492,665.7363928889345
charge,106,2.673056790862674,0.99868,0.0058872226921897,0.007728746885126191,15.331651357061597,0.021879151567321908,914.7590333223081
discharge,120,2.6732079517249048,4.999519999999999,0.0047604928942436,0.008258551391441158,13.673986885717262,0.03808630562295971,506.04683844557127
charge,110,2.6967383683848,3.998839999999999,0.004184772795224,0.006380819424353866,7.688775622351133,0.012259614451127502,1717.670647303785
charge,112,2.733853131264937,7.9986799999999985,0.0039602699119663,0.0038917368453273917,2.6796506615775746,0.00865745511364649,2036.0742802760055
discharge,109,5.14727643572202,0.9996800000000002,0.004850419448978,0.008667763411677335,17.50293465831408,0.02767455158660629,994.8128840145575
charge,102,5.148533165399599,3.998839999999999,0.0039965880412747,0.006209334943290779,6.963820901023216,0.009589500123865089,2101.8993170103804
charge,100,5.149011821612888,1.9994000000000007,0.0046954530286451,0.0067005644965822675,13.301820425654265,0.012828902730928536,1652.9047312223354
charge,98,5.150765493799554,0.99868,0.0053022638969097,0.007948022869763278,14.431012276933808,0.017811946089209447,1202.9028912759993
discharge,111,5.151140090763917,4.999519999999999,0.0044096390581551,0.008559668156189004,13.0631015017122,0.03234813220575764,622.0466246481651
charge,104,5.161909549706095,7.9986799999999985,0.0035594249117394,0.003946834048590463,2.2509771616271714,0.00866423334900736,1994.905356057162
discharge,100,10.102591680534502,0.99938,0.003947955535642,0.008751644823591967,17.157707319189726,0.024802112564611893,1165.2548282579555
charge,90,10.105496716454937,0.99868,0.0044812520881699,0.0077723925515588935,15.006267130686647,0.016048089223666073,1328.3531227654537
discharge,102,10.106342201240722,4.999051999999999,0.0037689088973652,0.007897807901332913,10.866641693431184,0.02671395814764626,774.1016279998371
discharge,104,10.118259059969745,9.999739999999996,0.0020930444458713,0.006849910885327326,9.848992242575166,0.030739735553271398,575.0861243752943
charge,92,10.118272001192407,1.9994000000000007,0.00354701032441,0.006876850326851961,13.47360911255987,0.0123458201512022,1705.9471042314462
charge,94,10.132324388191606,3.998839999999999,0.0032818160281002,0.005594621958636124,4.559563337927605,0.010226384459833343,1727.8251872841843
charge,96,10.144922967624352,7.9986799999999985,0.0029150393164752,0.0052049958008222805,6.881136647469223,0.009073730294880256,2582.6430239339825
discharge,91,15.065097085356996,0.9996800000000002,0.0029918654988221,0.008651370492194676,15.70607256812837,0.022905416437509325,1236.9061568108957
charge,82,15.068422072921209,0.99868,0.002641858529804,0.008240090650365893,13.077370104376238,0.016040217446868583,1295.6905800599116
discharge,93,15.068579165231696,4.999415999999998,0.0031121951115133,0.007672710241372264,8.697716504977977,0.020822639065010175,1000.2150470153643
charge,86,15.07776151483172,3.998839999999999,0.002657244256124,0.006535788843471174,7.01552570302133,0.010242939323038925,1935.8612932026126
charge,84,15.081891315091768,1.9994000000000007,0.0028662075748549,0.007474793380869418,13.414759316570358,0.012654220264188724,1740.2243209860358
discharge,95,15.082659789912768,9.999739999999996,0.0015726692075145,0.006787635126206622,6.571652115317452,0.022896157741972685,737.4360581044864
charge,88,15.097930630237116,7.9986799999999985,0.0023507894710291,0.005100009674315234,4.9302088140932,0.008561256182586982,2350.060482317231
charge,80,20.06723642608914,7.9986799999999985,0.0018568337491435,0.004495768758607018,2.8138008349161034,0.008313941850012056,2100.0485194677262
charge,78,20.073624665014734,3.998839999999999,0.0021833104670972,0.005897714035366509,4.66764287538345,0.009905890645648178,1765.8212947259092
discharge,88,20.07661817510825,14.999560000000002,0.0005231086778545,0.0070150537438026335,4.692095269036604,0.020165163164410672,822.4527991332498
discharge,86,20.077876956876565,9.99999,0.0010908822715383,0.006790563194797605,6.323772575517022,0.01901725763111199,962.0040127712576
charge,76,20.08127564613548,1.9994000000000007,0.0021471219968647,0.00713375904148473,13.638107336024422,0.012605246793994648,1702.5014670040748
charge,74,20.082886384610205,0.99868,0.002390455570972,0.008282101525377903,13.655653748551616,0.016068115614586882,1322.0602637164236
discharge,84,20.083074285522244,4.999207999999999,0.0025122997811545,0.00823879888978664,8.467505943956779,0.01971680845134479,1172.840587339469
discharge,79,30.07930930829798,14.999560000000002,0.0005210606177781,0.006508656146663708,2.6805481899021553,0.014553450069757131,1311.7337771142113
charge,70,30.08808702411516,3.998839999999999,0.0015064177919229,0.006886600261346379,6.986036443393436,0.009952571184615015,1952.1416981368836
discharge,77,30.09307967223976,10.000039999999998,0.0009484630379586,0.006634381910749732,5.04934122999734,0.015054191981430782,1454.701577549222
charge,68,30.093478349484528,1.9994000000000007,0.0010361334553168,0.00730712099290078,13.441287353091967,0.012471401355809177,1704.6241143260536
charge,66,30.09478602048009,0.99868,0.0013145520310178,0.008456193767516313,13.613597057869494,0.015365625931500749,1374.446520397438
charge,62,40.08867953503522,3.998839999999999,0.0008039615063771,0.0071280839054544244,7.111729975216796,0.009924138868209254,1931.9125035110012
discharge,64,40.08995245378838,0.99903,0.0007396053556212,0.008678947665911744,15.391820034156856,0.018581508280407655,1598.48569076318
discharge,70,40.089967148069405,14.999510000000004,0.0005125270341263,0.006532628683955622,2.426625162531622,0.012510714229538816,1850.4812530761544
charge,58,40.09070670789483,0.99868,0.000646191325674,0.008201136261524558,14.708752250274229,0.014917964476682238,1446.3872891960061
discharge,66,40.09086170569066,4.998843999999998,0.0011234463925899,0.007404136144396492,6.733413606300653,0.015225037852897277,1767.2778527711066
charge,60,40.092058429882016,1.9994000000000007,0.0006283815866668,0.00748192107857362,13.690445859207774,0.012568142841906788,1672.9209250562737
WLTP_augmented,-1,46.0,0.25,0.0003277717760972,0.008482505569505385,13.721799897612973,0.014785577961585455,1361.2047375911254
